"input_dimension","accepted_evidence","downgrade_when","stop_rule","output_effect"
"builder_ability","Work sample, repo, portfolio, workflow screenshot, delivered artifact, or repeatable manual process","Only claimed skill with no public or buyer-provided proof","Stop paid Route File if delivery requires abilities the buyer cannot show or safely access","Select service, tool, content, data, or implementation route based on what can actually be delivered"
"buyer_problem","Qualified reply, buyer wording, support ticket, forum question, search query, sales call note, or first-party intake","Problem is described only by the builder or by generic model output","Stop if no reachable buyer segment can name the pain in concrete language","Choose first page angle, offer promise boundary, and outreach question"
"proof_asset","Before-after sample, checklist result, calculator output, audit excerpt, public demo, or source-backed comparison","Proof is only a mockup, broad claim, or copied public advice","Stop or narrow if the route cannot show a concrete artifact before payment","Require sample, fit checker, demo, source pack, or page skeleton before promotion"
"target_segment","Specific role, company type, workflow owner, tool user, budget owner, or community cluster","Segment is everyone, all AI users, all founders, or all websites","Stop if the first 20 manual prospects cannot be listed without spam or scraping","Pick first traffic channel and manual outreach batch"
"delivery_capacity","Weekly hours, turnaround, scope boundary, revision limit, and manual fulfillment checklist","Capacity is unknown or depends on untested automation","Reject subscription or dashboard claims until manual delivery works","Set one-time review, fixed-scope setup, or manual audit instead of SaaS"
"data_rights","Owned data, public source terms, permitted API, export, source register, update owner, and freshness plan","Data is copied, stale, unverifiable, or legally unclear","Stop data or directory route if rights, freshness, or unique value cannot be defended","Permit or block directory, comparison, report, or programmatic page route"
"risk_boundary","YMYL classification, privacy exposure, account access, platform policy, payment processor limits, and regulated-advice check","Risk is unknown, hidden, or shifted to the buyer without disclosure","Stop if output would be legal, medical, financial, tax, safety, or account-risk advice without qualified support","Add disclaimer, refund boundary, intake limits, or route rejection"
"monetization_fit","Confirmed payment, payment click plus usable intake, buyer budget signal, comparable price anchor, or low-risk manual sale","Only projected revenue, pageviews, or AI confidence supports price","Stop price increase, subscription, or paid software build without payment evidence","Choose USD 29 review, USD 99 Route File, free sample, or no payment"
"search_evidence","GSC export, Bing export, query list, source-backed SERP review, index status, or cited URL evidence","Only sitemap success, IndexNow success, or third-party estimate exists","Do not scale content cluster when first-party search data is missing","Limit to a small page set and keep search evidence pending"
"ai_visibility_evidence","AI referral, Bing AI Performance export, cited URL, crawler log, retrieval test, or answer inclusion with source URL","Only AI-readiness checklist or crawler allowance exists","Do not claim AI traffic or citations without a captured source and timestamp","Keep AI-readable pages, llms files, and crawler checks as readiness only"
"implementation_need","Buyer says they need setup/build/done-for-you, not a plan; existing offer is already clear","Advice artifact would not remove the buyer's blocker","Pivot from Route File to implementation or reject payment if a route file is the wrong product","Route to setup service, build package, or refund/reject decision"
"generic_ai_substitute","Evidence that a manual route file adds sequencing, rejection, source review, risk boundary, or execution backlog beyond generic model output","Output can be produced by a prompt without buyer-specific evidence or stop rules","Do not sell if generic AI can produce the same useful result from the same inputs","Require rejected routes, evidence ledger, channel plan, and stop rules in delivery"
