"route_archetype","best_fit_when","minimum_evidence","primary_page_asset","paid_offer_shape","common_stop_rule"
"AI workflow setup service","Buyer has repeated manual intake, follow-up, reporting, or handoff work and the builder can deliver a concrete workflow","One before-after workflow example plus 10 targeted buyer replies or one paid pilot request","One-page service page with workflow screenshot, scope, delivery time, limits, and intake CTA","Fixed-scope setup or review before larger implementation","Stop if buyers cannot name the workflow pain or if delivery needs private account takeover"
"AI automation audit","Buyer has existing process or website but does not know what to automate first","Public site/process sample, tool stack, risk boundary, and audit decision question","Audit sample, checklist, scope builder, and decision table","Manual audit with pass/rewrite/stop recommendations","Stop if the buyer expects implementation, guaranteed savings, or regulated advice"
"Prompt or template pack","Buyer repeats a narrow task and needs reusable assets, not custom service","Three task examples, one sample output, and clear buyer role","Template preview page with examples, use cases, and refund boundary","Low-price downloadable pack or starter bundle","Stop if generic AI can produce equivalent output without domain constraints"
"Micro SaaS utility","Buyer repeats a task often enough to justify software and the builder can maintain it","Manual workflow proof, repeated demand, and support capacity","Tool page with free checker, output sample, and upgrade boundary","Free tool plus paid export, setup, or pro workflow","Stop if the task is rare, data rights are unclear, or support cost exceeds price"
"SEO or AI visibility guide cluster","The problem is education and reference demand rather than direct service buying","Source pack, search intent, internal linking plan, and update owner","Guide hub with checklists, source register, and review cycle","Newsletter, templates, audit, or consulting only after traffic evidence","Stop if pages repeat public advice without original tool, data, or checklist value"
"Programmatic directory","Entities can be collected legally and each page has unique value","Data rights, canonical entity model, uniqueness field, and sample audit","Directory template, filters, schema, and noindex rules","Sponsorship, lead gen, or paid placement only after demand proof","Stop if data is copied, thin, stale, or impossible to maintain"
"Comparison page system","Buyer is choosing between methods, tools, or service types and needs tradeoffs","Current source pack, benchmark criteria, update date, and bias disclosure","Comparison matrix with use cases, limits, and source notes","Affiliate, audit, or advisory path with disclosure","Stop if pricing/spec claims cannot be verified from current sources"
"Done-for-you landing page setup","Buyer needs implementation more than advice and has one offer already","Offer input, proof asset, brand basics, payment/intake boundary, and delivery capacity","Service page with sample before-after page structure","Fixed-price setup with clear revision and scope limits","Stop if the buyer expects broad strategy, design system, or traffic guarantees"
"Internal dashboard or data report","Buyer has first-party data and needs decisions from it","Clean data export, metric definition, privacy boundary, and decision question","Report sample, KPI glossary, and data handling note","Manual report or dashboard build","Stop if data is unavailable, sensitive, or the decision cannot be changed by analysis"
"Browser extension or workflow plugin","The task happens in a browser repeatedly and has a narrow trigger","Manual task proof, target browser context, permissions review, and maintenance plan","Demo page with permission explanation and workflow screenshots","Free extension plus paid setup/support only after usage proof","Stop if permissions are excessive or the task can be solved with a bookmark/template"
"Course or operating playbook","Buyer wants a repeatable process and can execute without custom service","Clear learner level, one sample module, proof of outcome, and support boundary","Curriculum page with module sample and action checklist","One-time playbook or cohort only after audience proof","Stop if the material is generic or lacks practice assets"
"Marketplace or matching service","Two sides have repeated demand and the operator can seed supply manually","Manual supply list, buyer request proof, trust/safety rules, and matching workflow","Request page with qualification rules and trust boundaries","Manual concierge matching before platform build","Stop if either side cannot be sourced manually or trust risk is high"
