"url","page_type","cluster","day_30_action","day_60_action","day_90_action","current_action","evidence_status","next_issue"
"/","home","launch_blueprint","measure_frontstage_cta","review_start_and_sample_exits","keep_if_route_file_positioning_is_clear","keep","technical_seo_pass;event_layer_ready;frontstage_repositioned","Measure homepage CTA click rate, start exits, sample exits, delivery gate exits, and confusion about what AgentSiteOps delivers"
"/start/","product_entry","launch_blueprint","measure_start_page_use","rewrite_if_intake_requirements_are_unclear","keep_if_it_reduces_fit_confusion","keep","new_route;frontstage_entry","Measure start page views, sample exits, how-it-works exits, pricing exits, and repeated confusion about what to submit"
"/idea-risk-test/","product_tool","launch_blueprint","measure_free_idea_test_use","rewrite_if_single_input_extraction_or_source_basis_is_unclear","keep_if_it_reduces_unsupported_project_builds","keep","new_route;free_test;single_input_extraction;source_backed_risk_map","Measure idea risk test views, example loads, report copies, Plan Studio exits, Review Status exits, language switches, and whether users understand the result is reference guidance rather than final delivery"
"/plan/","product_planner","launch_blueprint","measure_plan_draft_use","rewrite_if_users_still_cannot_find_where_to_write_their_plan","keep_if_it_reduces_intake_confusion","keep","new_route;plan_studio;local_draft_ready","Measure plan studio views, example loads, plan brief copies, intake exits, sample exits, and repeated confusion about preliminary draft versus final Route File"
"/how-it-works/","product_explainer","launch_blueprint","measure_how_it_works_use","rewrite_if_manual_research_boundary_is_unclear","keep_if_it_reduces_api_or_automation_confusion","keep","new_route;frontstage_explainer","Measure how-it-works views, start exits, client workflow exits, prompt pack exits, and repeated questions about API use"
"/scope/","product_state","launch_blueprint","measure_scope_lock_use","rewrite_if_scope_lock_does_not_reduce_research_drift","keep_if_it_clarifies_pre_research_boundary","keep","new_route;scope_lock;client_state_ready","Measure scope lock views, research exits, intake repair exits, coverage gate exits, and repeated confusion about what is frozen before research"
"/execution/","product_workbench","launch_blueprint","measure_execution_stage_and_copy_use","merge_or_rewrite_if_click_path_is_unclear","keep_if_it_reduces_repeated_module_confusion","keep","new_route;execution_workbench;social_copy_ready","Measure execution workbench views, stage selections, prompt pack exits, delivery gate exits, sample exits, and bilingual social copy exports"
"/delivery-gate/","product_gate","launch_blueprint","measure_delivery_gate_alias_use","rewrite_if_customers_still_need_deep_checklist_first","keep_if_it_clarifies_route_file_acceptance","keep","new_route;frontstage_delivery_gate","Measure delivery gate alias views, sample exits, client workflow exits, full checklist exits, and repeated confusion about pass repair blocked or not delivery"
"/ai-website-operating-system/","pillar","ai_website_operating_system","keep","review_query_breadth","keep_or_rewrite","keep","technical_seo_pass","Review impressions and source_link_click after GSC/Bing setup"
"/tools/website-opportunity-scorer/","tool","website_opportunity_scoring","keep","optimize_completion_path","keep_or_expand","keep","technical_seo_pass;tool_events_verified","Measure tool_completed and tool_result_export after real endpoint"
"/tools/ai-crawler-readiness/","tool","ai_crawler_readiness","keep","measure_readiness_report_copy","keep_or_expand","keep","new_route;free_diagnostic_ready","Measure readiness report copies and sample audit clicks before paid audit expansion"
"/examples/agentsiteops-self-audit/","example","commercial_validation","keep","measure_sample_to_intent","keep_or_rewrite","keep","new_route;sample_audit_ready","Measure whether sample views lead to audit intent clicks"
"/examples/fit-review-sample/","example","launch_blueprint","measure_sample_to_payment","rewrite_or_expand_if_intent_exists","keep_pivot_or_productize","keep","new_route;sample_ready","Measure movement from sample review to Fit Review pricing intake and full Route File pages"
"/examples/ai-service-route-file/","example","launch_blueprint","measure_ai_service_case_views","expand_if_it_increases_plan_or_sample_exits","keep_if_it_proves_route_file_output","keep","proof_case;route_file_example","Measure proof-case views, Plan Studio exits, blocked-intake comparison exits, and sample returns"
"/examples/route-file-from-messy-project/","example","launch_blueprint","measure_messy_project_case_views","rewrite_if_the_repair_path_is_unclear","keep_if_it_reduces_plan_to_route_confusion","keep","proof_case;messy_project_route_file","Measure messy-project case views, Plan Studio exits, sample viewer returns, delivery gate exits, and repeated confusion about automatic versus manual handoff"
"/examples/blocked-intake/","example","launch_blueprint","measure_blocked_intake_views","rewrite_if_block_boundary_is_unclear","keep_if_it_reduces_unsupported_intake","keep","proof_case;blocked_intake","Measure blocked-intake views, Plan Studio repair exits, intake exits, and comparison with the completed case"
"/services/ai-website-opportunity-audit/","service","commercial_validation","keep","review_intent_quality","keep_or_pause","keep","legacy_route;route_to_route_file","Keep as legacy service context; route qualified commercial intent toward the Route File pricing, sample, buy, and intake path"
"/tools/audit-scope-builder/","tool","commercial_validation","keep","measure_scope_copy","keep_or_expand","keep","local_only_tool_ready;checkout_disabled","Measure audit_scope_builder_view, tool_completed, and tool_result_export before adding forms or payment"
