"no","name","book","line_count","has_natural_image","has_tuan","has_xiang","has_najia","has_yangzhai","core_summary"
"1","乾为天","上经","7","true","true","true","true","true","天道刚健、创始万物、君子自强、知时进退、刚中守正之道。"
"2","坤为地","上经","7","true","true","true","true","true",""
"3","水雷屯","上经","6","false","true","true","true","true",""
"4","山水蒙","上经","6","false","true","true","true","true",""
"5","水天需","上经","6","false","true","true","true","true",""
"6","天水讼","上经","6","false","true","true","true","true",""
"7","地水师","上经","6","true","true","true","true","true",""
"8","水地比","上经","6","true","true","true","true","true",""
"9","风天小畜","上经","6","true","true","true","true","true",""
"10","天泽履","上经","6","true","true","true","true","true",""
"11","地天泰","上经","6","true","true","true","true","true",""
"12","天地否","上经","6","true","true","true","true","true",""
"13","天火同人","上经","6","true","true","true","true","true",""
"14","火天大有","上经","6","true","true","true","true","true",""
"15","地山谦","上经","6","true","true","true","true","true",""
"16","雷地豫","上经","6","true","true","true","true","true",""
"17","泽雷随","上经","6","true","true","true","true","true",""
"18","山风蛊","上经","6","true","true","true","true","true",""
"19","地泽临","上经","6","true","true","true","true","true",""
"20","风地观","上经","6","true","true","true","true","true",""
"21","火雷噬嗑","上经","6","true","true","true","true","true",""
"22","山火贲","上经","6","true","true","true","true","true",""
"23","山地剥","上经","6","true","true","true","true","true",""
"24","地雷复","上经","6","true","true","true","true","true",""
"25","天雷无妄","上经","6","true","true","true","true","true",""
"26","山天大畜","上经","6","true","true","true","true","true",""
"27","山雷颐","上经","6","true","true","true","true","true","观其所养、自求口实、慎言节食、养正则吉之道。"
"28","泽风大过","上经","6","true","true","true","true","true","力量过重、根基不足、本末俱弱、非常时期必须独立担当、知过求变之道。"
"29","坎为水","上经","6","true","true","true","true","true","重险之中守诚信，行险之中不失中道，习险而能出险之道。"
"30","离为火","上经","6","true","true","true","true","true","附丽、文明、明辨、柔顺中正、依附正道而发光之道。"
"31","泽山咸","下经","6","true","true","true","true","true","天地感应、男女相感、人心相通、至诚动人、虚心受人之道。"
"32","雷风恒","下经","6","true","true","true","true","true","久于其道、守常应变、夫妇长久、君子立不易方之道。"
"33","天山遁","下经","6","true","true","true","true","true","小人渐长、君子退避、明哲保身、远恶守道、身退而道不退之法。"
"34","雷天大壮","下经","6","true","true","true","true","true","阳刚壮盛、声势浩大、冲突将起，必须以礼制壮、以和缓冲、以自胜为真壮之道。"
"35","火地晋","下经","6","true","true","true","true","true","明出地上、顺而丽明、得上赏识、进退有度、忠于职守而上进之道。"
"36","地火明夷","下经","6","true","true","true","true","true","光明受伤、暗君在上、君子用晦、内明外顺、艰难守正之道。"
"37","风火家人","下经","6","true","true","true","true","true","家道、伦理、内明外顺、言行有物、父子夫妇各正其位，由内而外治天下之道。"
"38","火泽睽","下经","6","true","true","true","true","true","人心背离、志不同道、二女同居而所归各异、异中求同、小事可行、大事宜慎之道。"
"39","水山蹇","下经","6","true","true","true","true","true","前有险阻、进退两难、见险能止、反身修德、待大人相助之道。"
"40","雷水解","下经","6","true","true","true","true","true","险难解除、雷雨作解、赦过宥罪、宽缓待人、速解余患之道。"
"41","山泽损","下经","6","true","true","true","true","true","损下益上、减损多余、惩忿窒欲、以诚为本、少损而有大益之道。"
"42","风雷益","下经","6","true","true","true","true","true",""
"43","泽天夬","下经","6","true","true","true","true","true",""
"44","天风姤","下经","6","true","true","true","true","true",""
"45","泽地萃","下经","6","true","true","true","true","true",""
"46","地风升","下经","6","true","true","true","true","true",""
"47","泽水困","下经","6","true","true","true","true","true",""
"48","水风井","下经","6","true","true","true","true","true",""
"49","泽火革","下经","6","true","true","true","true","true",""
"50","火风鼎","下经","6","true","true","true","true","true",""
"51","震为雷","下经","6","true","true","true","true","true",""
"52","艮为山","下经","6","true","true","true","true","true",""
"53","风山渐","下经","6","true","true","true","true","true",""
"54","雷泽归妹","下经","6","true","true","true","true","true",""
"55","雷火丰","下经","6","true","true","true","true","true",""
"56","火山旅","下经","6","true","true","true","true","true",""
"57","巽为风","下经","6","true","true","true","true","true",""
"58","兑为泽","下经","6","true","true","true","true","true",""
"59","风水涣","下经","6","true","true","true","true","true",""
"60","水泽节","下经","6","true","true","true","true","true",""
"61","风泽中孚","下经","6","true","true","true","true","true",""
"62","雷山小过","下经","6","true","true","true","true","true",""
"63","水火既济","下经","6","true","true","true","true","true",""
"64","火水未济","下经","6","true","true","true","true","true",""
